TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
9-Oct-20,175,177,174.15,176.45,299880
8-Oct-20,176.9,176.9,173.1,175.44,852960
7-Oct-20,174.9,175.99,171.7,174.64,369952
6-Oct-20,173.49,174.49,170.1,171.74,260037
5-Oct-20,175.5,177,170.71,172.58,411284
2-Oct-20,176.9,178,173.25,175.71,299223
1-Oct-20,175.69,178,172.11,177.02,283819
30-Sep-20,175.13,176.5,172.99,173.82,292158
29-Sep-20,172.53,178,172.53,175.13,448789
28-Sep-20,177.99,177.99,172.01,174.31,407701
25-Sep-20,176.99,178,175.25,176.7,371414
24-Sep-20,179.4,179.4,174.5,177.5,465868
23-Sep-20,175.51,178,175.51,176.81,122484
22-Sep-20,177.01,177.95,175.07,176.26,164161
21-Sep-20,178.98,178.98,177.3,177.96,197153
18-Sep-20,178.97,180,178.01,178.84,811124
17-Sep-20,177.98,180.9,177.03,178.24,396192
16-Sep-20,179.38,179.99,177,178.26,299536
15-Sep-20,178.01,180.25,177.5,178.73,428521
14-Sep-20,178.99,180.24,176,179.73,399524
11-Sep-20,179.43,182,176.99,178.15,922906
10-Sep-20,172.49,179.88,172.49,178.22,1541501
9-Sep-20,171.9,175.95,169.16,171.99,615488
8-Sep-20,173.85,173.85,170.05,170.96,312946
7-Sep-20,173.73,174.9,171.8,173.67,109135
4-Sep-20,173.03,174.21,171.99,172.61,391996
3-Sep-20,173,174.87,171.5,173.73,603084
2-Sep-20,172.89,173.9,171.45,172.08,423656
1-Sep-20,170.15,173,170.15,172.12,243600
31-Aug-20,172.59,174,170.5,171.07,912172
28-Aug-20,174,174.69,171.5,171.81,317828
27-Aug-20,174,177,173,173.7,937082
26-Aug-20,169,177.9,168.91,175.22,1236359
25-Aug-20,168.07,169.75,168,168.64,546918
24-Aug-20,170,171,167.11,168.51,164035
21-Aug-20,168.02,170.89,166,169.6,1732279
20-Aug-20,177.25,178.9,167,169.95,1271118
19-Aug-20,177,178.49,176.08,177.43,460328
18-Aug-20,179.89,179.89,176.01,177.07,304933
17-Aug-20,178.25,181.8,176.3,177.58,514046
13-Aug-20,182,182,177.45,178.28,517088
12-Aug-20,184.9,187,180.1,181.15,260026
11-Aug-20,180.9,184,178.55,182.82,375872
10-Aug-20,183.98,183.98,178.75,179.42,358949
7-Aug-20,183.98,186.84,180.1,181.43,608042
6-Aug-20,177.5,186,177.05,183.29,1012403
5-Aug-20,177,180,175.99,176.37,627069
4-Aug-20,178,180.5,175.95,176.91,1186734
3-Aug-20,177.4,181,176.5,177.23,559364
30-Jul-20,178.4,178.4,176.22,177.4,339879
29-Jul-20,177.61,179,177.01,177.26,651464
28-Jul-20,174.95,184.9,174.95,177.02,310138
27-Jul-20,171.99,175,170.6,174.19,409949
24-Jul-20,170.95,174.89,166.13,171.61,503297
23-Jul-20,167.03,172,166.5,168.98,483167
22-Jul-20,165.98,168,164.61,167.07,353948
21-Jul-20,164.66,165.9,164.6,165.39,297401
20-Jul-20,165.49,166.25,164.1,165.09,498033
17-Jul-20,164.53,165.65,164.4,164.82,94479
16-Jul-20,164.5,166.2,164.24,165.07,342064
15-Jul-20,164.1,166.5,163.8,165.14,364062
14-Jul-20,164.56,165.65,163.03,165.01,117396
13-Jul-20,165,166,163.93,164.61,360497
10-Jul-20,164.72,166,164,165.08,463054
9-Jul-20,162.5,165.5,162.5,164.72,466115
8-Jul-20,161.99,163.5,160.21,162.94,902753
7-Jul-20,161.99,162.49,160,161.43,240461
6-Jul-20,161.42,162.85,160,161.21,61266
3-Jul-20,162.01,163,160.5,161.42,18041
2-Jul-20,160.95,162.99,159,162.33,265412
1-Jul-20,161.02,163,159,160.33,179690
30-Jun-20,153.11,163,153.11,162.07,591010
29-Jun-20,152.7,154.5,151.02,153.64,66863
26-Jun-20,151.88,153,150.01,152.7,358417
25-Jun-20,154.02,154.89,151.06,151.88,538071
24-Jun-20,154.05,157.89,153.5,155.09,171250
23-Jun-20,153.98,154.89,153.11,154.32,22595
22-Jun-20,155.97,155.97,152.2,153.83,77510
19-Jun-20,152.92,156,151.2,155.18,479207
18-Jun-20,150.98,152.95,150.11,150.92,280188
17-Jun-20,157.75,161,150,151.61,454177
16-Jun-20,155.99,158,152,156.18,74178
15-Jun-20,161.02,161.41,154.12,155.83,162993
12-Jun-20,162.5,169,161,161.38,242316
11-Jun-20,165.11,167.99,165.11,166.22,219325
10-Jun-20,164.5,174.99,164.4,166.42,484673
9-Jun-20,164.5,167,163,163.7,252903
8-Jun-20,158.57,166,158.57,164.26,356424
5-Jun-20,160,161,157.2,158.57,148222
4-Jun-20,162.87,162.99,159,159.88,301268
3-Jun-20,164,164.5,160,162.81,284728
2-Jun-20,152.5,163.99,151.5,162.32,1033889
1-Jun-20,147,153.89,147,152.72,388035
29-May-20,149,151,145,146.61,1633477
28-May-20,150,150,146.01,148.32,315252
21-May-20,149.5,149.99,148.79,148.97,118500
20-May-20,149.89,150.25,149,149.84,52544
19-May-20,150,151.25,148.5,149.47,227761
18-May-20,152,152.5,149,149.25,621977
15-May-20,155.5,156,152,152.83,315744
14-May-20,155.5,156,154.2,155.15,59624
13-May-20,156.25,156.5,154.5,155.43,402514
12-May-20,156.95,160.25,156.95,158.96,225198
11-May-20,156.99,157,154.6,155.91,242988
8-May-20,157,157.75,155,155.66,213540
7-May-20,156.75,161.85,155.15,156.39,535993
6-May-20,164.5,166,156,157.69,505084
5-May-20,162.8,169.9,162.5,163.78,434805
4-May-20,169,169,162,163.82,274869
30-Apr-20,158.25,164.8,158.25,163.67,240763
29-Apr-20,159.5,159.5,157.45,158.22,201516
28-Apr-20,157.5,158.58,157.26,157.94,198481
27-Apr-20,156.5,159,154.52,157.6,241366
24-Apr-20,158.99,159.7,156.1,158.1,328542
23-Apr-20,159.99,167,157.5,158.24,1411408
22-Apr-20,156.99,167.5,154.5,161.38,956251
21-Apr-20,151.06,159.8,151.06,156.97,566049
20-Apr-20,155.12,158.9,154.02,156.52,422919
17-Apr-20,153.9,159.5,150.01,154,1005126
16-Apr-20,152.5,152.5,146.75,148.44,619870
15-Apr-20,153,155,150,151.4,465071
14-Apr-20,153,155,150.1,153.15,122004
13-Apr-20,153,156,150.01,152.02,153159
10-Apr-20,153.5,156,149.51,154.5,208806
9-Apr-20,149,153.99,149,152.39,213386
8-Apr-20,146.99,149.74,145,148.22,500237
7-Apr-20,147.5,147.5,144.25,146.21,680027
6-Apr-20,154.95,154.95,145,146.13,781555
3-Apr-20,160.1,163.5,152,153.87,641992
2-Apr-20,154.4,159.15,151.2,158.09,621024
1-Apr-20,150.01,154.4,146,151.92,1208223
31-Mar-20,143.95,150,141,149.28,1094943
30-Mar-20,144,144,135.01,140.87,743226
27-Mar-20,131.3,143.96,131.3,142.43,587522
26-Mar-20,138,141.95,130.2,133.92,1978945
25-Mar-20,130.5,138,130.5,132.89,3073334
24-Mar-20,141.08,141.08,141.08,141.08,663789
20-Mar-20,158.9,158.9,146,152.51,1174500
19-Mar-20,140,154.87,134.5,152.42,850800
18-Mar-20,157,157.2,144.88,145.21,1367800
17-Mar-20,162,165,155.21,156.62,1996700
16-Mar-20,176,179.49,167.79,167.79,1423000
13-Mar-20,182,187,172.98,181.39,2428000
12-Mar-20,191,193.5,184.5,186,360800
11-Mar-20,190.01,196,190.01,193.99,424100
10-Mar-20,185.7,193.89,185.66,192.24,533200
9-Mar-20,193.9,193.9,182.21,190.66,2248700
6-Mar-20,202.51,204.99,192.51,195.92,994900
5-Mar-20,202,205.5,200.5,204.05,654700
4-Mar-20,198,202.99,197,200.44,255800
3-Mar-20,199.9,202.75,197,198.26,424100
2-Mar-20,197,200.9,196.9,199.07,557000
28-Feb-20,196.05,200.99,194,195.94,1424700
27-Feb-20,193.5,202,190.2,199.81,663400
26-Feb-20,196.56,199.49,193.05,197.51,860300
25-Feb-20,201.25,203.5,198,198.28,780200
24-Feb-20,205.06,205.9,201.52,202.29,639400
21-Feb-20,210.02,211.35,206.25,207.05,511500
20-Feb-20,216.5,216.5,211.5,211.95,242700
19-Feb-20,211.5,215,210.25,213.55,93600
18-Feb-20,211.08,214.5,208.58,211.31,222100
17-Feb-20,211.9,211.9,208.12,208.87,56500
14-Feb-20,211,211,206,210.19,106300
13-Feb-20,210.88,211.99,206.01,207.67,186000
12-Feb-20,204,210.4,203.07,208.32,245100
11-Feb-20,210,210,199,201.47,746800
10-Feb-20,207,208,205.5,207.25,225700
7-Feb-20,212.99,212.99,205,205.99,217300
6-Feb-20,212.99,214,207.1,207.75,199300
4-Feb-20,204.99,213.49,203.99,211.94,410600
3-Feb-20,208.11,209.98,202,202.65,968800
31-Jan-20,215,215,210,210.76,481500
30-Jan-20,215,216,210.7,213.2,453300
29-Jan-20,221,222,213.05,215.69,2503000
28-Jan-20,223.5,223.5,220.11,220.49,220400
27-Jan-20,223.95,225.5,222.05,223.34,233200
24-Jan-20,223,225.01,221.26,224.53,123600
23-Jan-20,222.4,225,222,222.92,295300
22-Jan-20,220.5,224,218.22,222.4,186400
21-Jan-20,222,223,218.7,220.51,289200
20-Jan-20,223,223,219.5,221.09,235500
17-Jan-20,222.88,225.49,221.1,222.28,261300
16-Jan-20,222.47,225.71,220,224.41,579900
15-Jan-20,222.38,223,220.5,222.62,243600
14-Jan-20,222,222,219.15,220.71,406500
13-Jan-20,222.48,225,220.01,221.79,683800
10-Jan-20,219.99,223.5,218,222.15,1079700
9-Jan-20,215,220,214.75,218.67,796500
8-Jan-20,212.5,214.83,211.02,213.53,289700
7-Jan-20,214.8,216,212.5,214.83,242400
6-Jan-20,213,220,211,212.38,996300
3-Jan-20,215.99,219,212,216.18,1109400
2-Jan-20,210,215.88,209.11,213.55,1029200
1-Jan-20,206.5,209.99,204.12,208.82,1302800
31-Dec-19,205.9,211,203.5,204.94,1285700
30-Dec-19,209.78,210,204,205.09,286200
27-Dec-19,210,211.8,207,208.93,268500
26-Dec-19,209,211.99,207.5,211.32,149300
24-Dec-19,207,208.9,203.5,207.42,157500
23-Dec-19,209.7,209.7,206.1,206.49,877900
20-Dec-19,210.9,214,207.1,209.02,985400
19-Dec-19,214,214,209.1,210.35,746200
18-Dec-19,212.42,213.95,210,212.89,652500
17-Dec-19,212,214,209,212.45,959600
16-Dec-19,212.3,213.3,209.5,211.42,1816900
13-Dec-19,212.99,213,210.04,212.72,531000
12-Dec-19,214.7,214.7,209.25,212.73,788000
11-Dec-19,212.05,215.75,211.25,212.2,722700
10-Dec-19,216.4,216.4,212,214.13,346900
9-Dec-19,215,215,211,213.91,548500
6-Dec-19,216,217,214,216.2,914500
5-Dec-19,218,220,215.11,215.92,2523800
4-Dec-19,211.2,216.5,211.2,216.18,540400
3-Dec-19,212,214.85,211.01,212.73,672000
2-Dec-19,202.89,210.55,201.2,210.55,1764300
29-Nov-19,199.48,204.9,199,200.53,821200
28-Nov-19,196,200,195,199.69,407600
27-Nov-19,190,200,188.3,196.44,605600
26-Nov-19,195.99,197.25,188.43,190.64,3155800
25-Nov-19,192.9,196.5,189.8,195.51,166000
22-Nov-19,187.9,191.7,185.26,191.38,179700
21-Nov-19,191.5,191.5,186.15,186.76,1005600
20-Nov-19,192.9,192.9,188.5,189.4,926400
19-Nov-19,193,196,191.5,192.97,2104300
18-Nov-19,192.5,193.7,190.5,191.47,879500
15-Nov-19,193.5,193.5,190.16,191.31,212600
14-Nov-19,192.8,193.9,191,191.72,526200
13-Nov-19,192,192,188.02,191.68,960500
12-Nov-19,193.9,193.9,188,190.78,1141900
11-Nov-19,194.49,194.5,191.12,192.87,496600
8-Nov-19,189,193,189,192.18,856100
7-Nov-19,187.1,189.99,184.6,188.58,827100
6-Nov-19,188,191,184.89,187.78,798400
5-Nov-19,183.9,188,180.99,186.2,414100
4-Nov-19,175.88,183.39,175.5,182.71,588900
1-Nov-19,170.45,181,170.45,174.66,634700
31-Oct-19,170,174.9,169.07,172.81,948200
30-Oct-19,171.99,172,169.5,171.2,298300
29-Oct-19,171.85,172,167.3,169.99,1170200
28-Oct-19,171,171.5,170,171.01,104200
25-Oct-19,171.99,172,169.11,169.84,239600
24-Oct-19,170,172,169.5,171.06,435200
23-Oct-19,166,170.98,165.55,168.9,386600
22-Oct-19,166.99,166.99,163.25,165.81,435600
21-Oct-19,169,169,163.86,164.12,2922500
18-Oct-19,171.5,170.77,167,169.46,976100
17-Oct-19,171.21,171.79,169.01,169.52,634300
16-Oct-19,172.72,172.72,170,171.21,651700
15-Oct-19,171,171,168.51,170.53,1828800
14-Oct-19,173.5,174,168.75,169.85,266200
11-Oct-19,172,174.49,172,172.74,2157800
10-Oct-19,169.01,173,168.75,171.95,3928700
9-Oct-19,171.79,171.79,168.7,169.24,845100
8-Oct-19,173,173,170,171.14,274600
7-Oct-19,169.8,172.8,167.25,171.84,799300
4-Oct-19,170,170,169,169.75,190300
3-Oct-19,168.99,171,167.5,169.5,2392200
2-Oct-19,170,170,167.51,167.97,698100
1-Oct-19,169.11,170.99,168.04,169.87,137500
30-Sep-19,169.99,171,168.25,169.57,285900
27-Sep-19,170,171.8,166,169.2,660400
26-Sep-19,164.05,173.4,162.5,167.53,492300
25-Sep-19,166.5,168,164,165.19,216100
24-Sep-19,168.8,168.8,165.05,166.39,161200
23-Sep-19,172.79,172.79,167,168,289500
20-Sep-19,171,172.5,168,170.26,445200
19-Sep-19,170,171.75,169.5,170.26,322700
18-Sep-19,170,170,167.01,169.92,218500
17-Sep-19,170.02,171.5,169,169.82,163400
16-Sep-19,168.5,172,167.6,171.48,319400
13-Sep-19,174.93,174.93,168.66,169.05,108000
12-Sep-19,169.79,174.25,169.79,172.82,2036200
11-Sep-19,164,169.88,164,169.04,1116600
6-Sep-19,164,166,162,163.95,860900
5-Sep-19,169,169.96,162.5,163.55,346800
4-Sep-19,164.75,170,158.3,167.5,883800
3-Sep-19,166,167,162.11,163.12,58600
2-Sep-19,166.1,168,165.1,166.05,199200
30-Aug-19,168.99,171.99,168,168.97,1196400
29-Aug-19,166,171.5,164.01,166.12,434000
28-Aug-19,168.45,169.2,166,166.72,150300
27-Aug-19,166.11,171.9,161.3,166.62,994100
26-Aug-19,168.06,172.98,167,169.28,761700
23-Aug-19,171,174.8,171,172.11,304300
22-Aug-19,174,175,172.51,174.39,187300
21-Aug-19,172,174.5,170.5,172.25,669200
20-Aug-19,164,171.65,164,171.65,1479900
19-Aug-19,159,163.48,156,163.48,216100
16-Aug-19,150.01,157.9,150,155.7,585200
9-Aug-19,156,157.98,154,155.23,313200
8-Aug-19,158.99,158.99,152.22,154.04,452900
7-Aug-19,160.76,162.9,158.1,159.78,166500
6-Aug-19,165,165,160,161.1,308300
5-Aug-19,168,168,164.12,165.26,207300
2-Aug-19,172,172.9,165.2,169.85,414400
1-Aug-19,176.98,176.98,171.2,172.8,151400
31-Jul-19,173.24,177,173.04,174.81,351600
30-Jul-19,174.02,176,172,175.28,146000
29-Jul-19,176.5,177,174.03,175.16,27200
26-Jul-19,177,177.5,175.6,176.77,129000
25-Jul-19,176.88,177,176.5,176.88,1005600
24-Jul-19,175.49,177,174.25,176.88,1365500
23-Jul-19,175.01,177,174.04,174.96,1935800
22-Jul-19,177.99,177.99,174.99,175.26,4100
19-Jul-19,174.5,177.4,173,175.14,131100
18-Jul-19,176.94,177.99,174.9,175.05,681600
17-Jul-19,176.99,177,174.51,176.32,731100
16-Jul-19,174.98,176,174.05,175.59,696900
15-Jul-19,175,175,171.25,173.89,155100
12-Jul-19,175.5,176,174,175.06,625400
11-Jul-19,176,177.57,175,175.9,180700
10-Jul-19,175.02,177.9,174.5,174.96,149300
9-Jul-19,176.5,176.5,174.11,175.28,578100
8-Jul-19,175,176.25,173.01,175.05,340700
5-Jul-19,178.49,178.5,174.01,174.99,237300
4-Jul-19,179.5,183,176,178.11,879500
3-Jul-19,175.9,182.7,175.5,178.31,251700
2-Jul-19,174,174.99,171.8,174.15,475100
1-Jul-19,173.05,178,171,172.24,152500
28-Jun-19,174,182.56,171,174.45,761000
27-Jun-19,174,175,172.75,173.87,686300
26-Jun-19,175.99,175.99,173.5,174.02,312700
25-Jun-19,175,175.99,172.5,173.96,541100
24-Jun-19,176,176,174,175.45,151800
21-Jun-19,176,178.98,174,176.32,136700
20-Jun-19,174.69,176,173.02,175.65,68000
19-Jun-19,171.5,174.99,171.5,173.72,210900
18-Jun-19,174.49,175,170,171.6,180700
17-Jun-19,179.95,180,174,175.05,298900
14-Jun-19,180.79,180.79,176.01,178.48,271500
13-Jun-19,178.28,180.5,177.5,178.98,211500
12-Jun-19,174.99,178.5,172.25,176.51,253000
11-Jun-19,179.99,179.99,173.13,175.3,207100
10-Jun-19,179.01,184,176.05,178.35,218500
3-Jun-19,175.12,184.9,173,182.69,1267800
30-May-19,177.99,178,176,176.9,391300
29-May-19,174.1,178.5,174.1,177.12,831700
28-May-19,175,175,170.15,172.79,1352000
27-May-19,175,176,174.51,175.14,512200
24-May-19,175.8,176,174.1,174.96,447700
23-May-19,173,174.9,171.55,174.65,389600
22-May-19,169.06,172.75,168.06,171.82,390500
21-May-19,171,173.01,167.6,168.62,324900
20-May-19,173.9,173.9,164.98,169.95,901500
17-May-19,176,176,170.35,172.95,126000
16-May-19,177.76,177.76,175.25,175.85,201700
15-May-19,179.99,180,176.86,178.28,98200
14-May-19,181.42,181.42,176.31,179.72,289800
13-May-19,182,185,180,181.58,2472100
10-May-19,178,180,177,179.54,200900
9-May-19,181,182.9,176,176.82,259700
8-May-19,185.23,187.79,180.1,182.09,180000
7-May-19,183.11,189.1,183.11,187.89,645300
6-May-19,186.11,187.99,184,184.66,83900
3-May-19,188.12,190,187,187.25,43300
2-May-19,188.06,190.49,188.06,189.72,1289400
30-Apr-19,189.55,190.99,188,189.97,398900
29-Apr-19,190.05,190.06,186.56,189.48,188700
26-Apr-19,191.5,192,188.6,189.99,406400
25-Apr-19,191,193.95,190.5,191.79,296600
24-Apr-19,191.38,192,189.51,190.54,139700
23-Apr-19,191.4,191.99,186.5,190.5,74300
22-Apr-19,194.45,194.45,188.6,190,1819500
19-Apr-19,184,194.12,184,192.27,852700
18-Apr-19,189.38,189.38,182,184.88,239500
17-Apr-19,189.79,189.88,184.01,186.26,79800
16-Apr-19,191.44,191.44,187.87,188.56,239200
15-Apr-19,190.49,191.99,188.08,190.54,325000
12-Apr-19,188,190.75,187.26,189.29,217800
11-Apr-19,189.49,189.49,187,187.98,263500
10-Apr-19,191,191,185.94,186.99,93400
9-Apr-19,189.94,190.01,187.31,188.65,217500
8-Apr-19,191.49,191.99,186.11,188.64,120400
5-Apr-19,193.5,193.5,189.32,191.39,131500
4-Apr-19,192,195.4,190,193.34,262200
3-Apr-19,195.29,195.29,190,191.09,80200
2-Apr-19,195.5,195.5,192.7,194.14,99100
1-Apr-19,197.95,198,195.29,195.96,169100
29-Mar-19,195.5,197,195.1,196.53,116400
28-Mar-19,197,197.79,195.5,195.96,115700
27-Mar-19,197,198.25,195.02,196.01,239900
26-Mar-19,197.45,198,196.5,197.53,111000
25-Mar-19,195.51,198.25,195.51,197.26,216500
22-Mar-19,196.5,197.8,196.1,196.98,149500
21-Mar-19,197.82,197.82,194.31,196.26,105600
20-Mar-19,195.07,196.94,194.5,195.87,1330300
19-Mar-19,198.97,199,197.65,198.21,298600
18-Mar-19,192.7,199,192.48,198.7,486600
15-Mar-19,194,194,190,190.7,268800
14-Mar-19,195,196,194,194.08,64300
13-Mar-19,194.5,195.9,193.8,194.27,284600
12-Mar-19,197.98,197.99,193.4,194.54,1001400
11-Mar-19,198,198,196.11,197.05,339700
8-Mar-19,200.12,201,196,196.42,298900
7-Mar-19,201.5,202.87,200,200.26,371700
6-Mar-19,202.5,203,199.99,200.09,286100
5-Mar-19,204,204.79,202,202.08,446500
4-Mar-19,206.49,207.99,202.75,203.15,507300
1-Mar-19,204.26,207.9,204,206.02,703600
28-Feb-19,206.01,208.5,203,205.13,502200
27-Feb-19,208.99,209,201,206.21,448800
26-Feb-19,208,211.5,207.99,209.11,265000
25-Feb-19,211.5,213,211.5,212.51,378600
22-Feb-19,210,212.98,208.11,212.23,357200
21-Feb-19,205.03,210,205,209.93,452200
20-Feb-19,205,206.95,203,205.84,697800
19-Feb-19,206,206,204,204.93,153400
18-Feb-19,207,207,201.05,203.85,230300
15-Feb-19,205.99,206,204.99,205.84,91700
14-Feb-19,205,206,204.16,205.33,56500
13-Feb-19,204,205.01,203.98,204.62,235700
12-Feb-19,203.02,204.75,202.99,203.43,74800
11-Feb-19,209,209,201.08,203.53,228800
8-Feb-19,209.5,210,205,206.83,253600
7-Feb-19,210.7,210.7,208.8,209.07,551200
6-Feb-19,210.18,210.75,208.11,209.7,353800
4-Feb-19,209.45,210.5,209,210.19,610800
1-Feb-19,209,209.99,207.5,209.43,440600
31-Jan-19,209.99,210,207.05,207.83,380300
30-Jan-19,208,210,208,208.93,553100
29-Jan-19,205.8,209,205.8,207.91,553900
28-Jan-19,205,207.89,205,206.5,891400
25-Jan-19,206.5,207.5,204,204.96,592300
24-Jan-19,203,206,201.52,205.41,876800
23-Jan-19,200.9,202.5,199.61,200.22,415900
22-Jan-19,197.99,200.8,197.11,199.61,308200
21-Jan-19,195.5,198,195.5,197.38,89300
18-Jan-19,195.5,196,193.5,195.79,445600
17-Jan-19,195.92,195.92,193.7,195.38,93200
16-Jan-19,197.1,197.8,194.86,195.52,78300
15-Jan-19,196.4,198,195.51,197.53,300400
14-Jan-19,195.51,196.5,194.26,195.82,256700
11-Jan-19,195,195,192,194.58,155100
10-Jan-19,193.21,195.5,193.21,194.97,365000
9-Jan-19,193,194.38,191.1,193.06,118800
8-Jan-19,194.9,195.9,192.2,192.95,534300
7-Jan-19,188.01,195,188,194.23,375700
4-Jan-19,190.9,190.9,186.8,187.98,123200
3-Jan-19,189.98,191.5,187.1,188.62,178000
2-Jan-19,196,198,189,189.92,565300
1-Jan-19,195,197,192.5,196.09,394500
31-Dec-18,187.51,198.84,186,193.57,1360700
28-Dec-18,192.49,192.5,188,189.38,967000
27-Dec-18,192.01,193.6,191,192.51,349100
26-Dec-18,194.84,194.84,191.15,191.79,101000
24-Dec-18,192.5,194.75,191.99,194.21,154800
21-Dec-18,198.75,199.9,193,194.76,1051800
20-Dec-18,199.5,199.98,196.5,198.63,309000
19-Dec-18,194.09,204,192.4,198.84,805900
18-Dec-18,195.95,195.95,192.55,194.29,419100
17-Dec-18,193.3,195.5,193,194.6,192000
14-Dec-18,191.01,196.95,190,194.39,650900
13-Dec-18,195.01,198.43,192.11,193.34,188400
12-Dec-18,195.11,199.9,191.15,193.71,691300
11-Dec-18,198.01,199.8,195.9,196.92,666100
10-Dec-18,198.98,199.69,197.5,198.66,42200
7-Dec-18,194.1,199.9,189.02,197.35,421400
6-Dec-18,204.5,204.5,195.25,195.81,1973600
5-Dec-18,207,207.39,204.1,204.96,679100
4-Dec-18,202.9,207.53,199.1,206.48,536000
3-Dec-18,208.1,208.4,198,200.17,468700
30-Nov-18,198,208.16,198,206.1,4192100
29-Nov-18,196.5,199.75,196.5,198.25,131300
28-Nov-18,197,198.5,196.1,197.78,528300
27-Nov-18,201.5,201.5,195.5,196.5,583100
26-Nov-18,200.99,201,199.11,200.54,179000
23-Nov-18,195.19,200.99,194.51,200.02,236000
22-Nov-18,198.49,199.98,195.65,196.92,329500
20-Nov-18,200,201,198.01,198.46,176200
19-Nov-18,202.25,204,199.01,199.7,450300
16-Nov-18,200.2,204,200.2,203.63,636700
15-Nov-18,199.1,202.5,198.3,201.39,619000
14-Nov-18,199,202,198,199.85,474300
13-Nov-18,197.99,200.5,196.2,199.84,968600
12-Nov-18,199.97,204,198.11,200.11,689400
9-Nov-18,197.04,199.55,195.05,198.51,635300
8-Nov-18,194.5,201,193.3,198.98,407100
7-Nov-18,194,196.9,192.9,193.29,251300
6-Nov-18,194.5,195,191.85,192.08,400500
5-Nov-18,196.01,196.01,193.55,194.82,514300
2-Nov-18,198.89,200.3,198,198.19,579300
1-Nov-18,195.1,199.84,195,198.05,672900
31-Oct-18,197.01,200,195.5,197.76,266700
30-Oct-18,198.5,198.99,196.15,198.29,401800
29-Oct-18,191.76,199.88,191.76,197.38,246500
26-Oct-18,184.06,194,183.25,191.41,357400
25-Oct-18,184.26,190,183,185.55,619000
24-Oct-18,179.5,186.41,179.5,186.39,630600
23-Oct-18,179.49,179.49,175.15,177.54,156400
22-Oct-18,179.5,182.97,178,178.91,241500
19-Oct-18,176.03,180.5,176.03,179.21,521600
18-Oct-18,177.47,178.5,175.5,177.16,501200
17-Oct-18,178,181,177,177.98,303700
16-Oct-18,182.79,182.79,176.05,177.47,478300
15-Oct-18,189.97,189.97,179.2,179.81,1370200
12-Oct-18,195.49,195.49,186.5,187.02,641900
11-Oct-18,195.7,195.9,190.1,192.82,182800
10-Oct-18,186.03,197,186.03,195.7,313400
9-Oct-18,187,192.5,187,187.96,174500
8-Oct-18,190,192.9,184,187.03,349900
5-Oct-18,193.61,195.5,189,189.29,307300
4-Oct-18,196.12,196.12,192.61,193.61,132400
3-Oct-18,199,199,196.4,196.61,42600
2-Oct-18,200.16,200.99,197.4,198.67,128100
1-Oct-18,201,203,199.5,200.87,45500
28-Sep-18,200.51,201.99,195.05,201.21,476300
27-Sep-18,200.9,202,200.51,201.79,628800
26-Sep-18,199.99,201.5,199.1,200.1,120100
25-Sep-18,201.99,201.99,199.5,199.84,169200
24-Sep-18,201.99,202,200.05,200.47,198600
19-Sep-18,200.48,201,199,199.8,263200
18-Sep-18,200.49,201.5,198.4,200.58,289800
17-Sep-18,200.97,201.8,198.71,200.09,16200
14-Sep-18,200,201,198,199.91,141200
13-Sep-18,197,200,196,199.76,410800
12-Sep-18,198.99,198.99,196.99,197.1,216800
11-Sep-18,199.95,200.99,196.84,197.99,177500
10-Sep-18,201.9,202.5,199.05,199.73,244900
7-Sep-18,202.98,204.5,199.6,201.35,280400
6-Sep-18,201.94,203.89,201.1,202.09,254900
5-Sep-18,203.9,203.9,200,201.35,500800
